,url,timestamp,pageType,year,month,day
112,http://www.predpol.com/agence-france-presse-features-predpol/,0,blog,0,0,0
113,http://www.predpol.com/predicting-crime-successes-are-already-being-seen/,0,blog,0,0,0
114,http://www.predpol.com/seattle-police-expand-predpols-technology-citywide/,20130726011238,blog,2013,7,26
115,http://www.predpol.com/predpol-honored-at-city-of-santa-cruz-ceremony/,20130728142332,blog,2013,7,28
116,http://www.predpol.com/computerworld-magazine-highlights-predpol-successes/,20131112131515,blog,2013,11,12
117,http://www.predpol.com/atlanta-magazine-highlights-predpol/,20220930164057,blog,2022,9,30
118,http://www.predpol.com/predpol-adds-industry-veteran-to-roster/,20201111232959,blog,2020,11,11
119,http://www.predpol.com/wall-street-journal-features-predpol-arrests-made-during-ride-along/,20131112131635,blog,2013,11,12
120,http://www.predpol.com/predpol-receives-significant-international-coverage/,20140227194523,blog,2014,2,27
121,http://www.predpol.com/predpol-launches-first-of-its-kind-technology-to-predict-gun-violence/,20130728142337,blog,2013,7,28
122,http://www.predpol.com/national-public-radio-features-seattle-polices-predpol-deployment/,20130921211427,blog,2013,9,21
123,http://www.predpol.com/cbs-atlanta-features-predpol-deployment/,20170911040555,blog,2017,9,11
124,http://www.predpol.com/former-facebook-chief-privacy-officer-joins-predpol-board/,20140320165936,blog,2014,3,20
125,http://www.predpol.com/predictive-policing-showing-early-success-in-kent-england/,20130305064318,blog,2013,3,5
126,http://www.predpol.com/predictive-policing-in-santa-cruz-leads-to-19-percent-drop-in-burglaries/,20131112122158,blog,2013,11,12
127,http://www.predpol.com/santa-clara-newspaper-features-predpol/,20141014205726,blog,2014,10,14
128,http://www.predpol.com/nbc-and-national-science-foundation-feature-predpol/,20161004153145,blog,2016,10,4
129,http://www.predpol.com/predpol-slashes-crime-in-north-kent/,20140320115611,blog,2014,3,20
130,http://www.predpol.com/dr-jeff-brantingham-featured-in-ucla-article-on-predpol/,20141030042908,blog,2014,10,30
131,http://www.predpol.com/norcross-pd-fighting-crime-by-predicting-it-with-predpol/,0,blog,0,0,0
