,url,timestamp,pageType,year,month,day
77,blog.predpol.com/tag/law-enforcement-technology/page/3,20201031161555,pageList,2020,10,31
78,blog.predpol.com/tag/ucla/page/2,20200702131725,pageList,2020,07,02
79,blog.predpol.com/tag/larry-samuels,20170726174831,tag,2017,07,26
80,blog.predpol.com/tag/whyy,20170726174924,tag,2017,07,26
81,blog.predpol.com/lapd-division-credits-predpol-for-no-crime-day,20201031162852,blog,2020,10,31
82,blog.predpol.com/alhambra-police-laud-predpol-successes,20201031153423,blog,2020,10,31
83,blog.predpol.com/cbs-atlanta-features-predpol-deployment,20201031161629,blog,2020,10,31
84,blog.predpol.com/microsoft-predpol-showcase-cloud-enabled-solutions-law-enforcement-iacp-2016,20170728033326,blog,2017,07,28
85,blog.predpol.com/tag/law-enforcement-technology,20170726173626,tag,2017,07,26
86,blog.predpol.com/tag/elgin-illinois,20170726174009,tag,2017,07,26
87,blog.predpol.com/tag/mayor-kasim-reed,20170726174023,tag,2017,07,26
88,blog.predpol.com/tag/predpol,20170726111911,tag,2017,07,26
89,blog.predpol.com/tag/culture-change,20181218224255,tag,2018,12,18
90,blog.predpol.com/,20170709002340,blog,2017,07,09
91,blog.predpol.com/computerworld-magazine-highlights-predpol-successes,20201031161153,blog,2020,10,31
92,blog.predpol.com/september-feature-spotlight-manage-crime-types,20181028095538,blog,2018,10,28
93,blog.predpol.com/tag/corporate-security,20181218224245,tag,2018,12,18
94,blog.predpol.com/tag/law-enforcement-technology/page/1,20201031160001,pageList,2020,10,31
95,blog.predpol.com/tag/reading-police,20170728073544,tag,2017,07,28
96,blog.predpol.com/governing-magazine-features-santa-cruz-police-and-predpol,20201031163736,blog,2020,10,31
97,blog.predpol.com/predpols-stance-on-privacy-civil-rights-transparency,20180307155938,blog,2018,03,07
98,blog.predpol.com/predpols-advanced-predictive-policing-technology-now-available-to-corporate-customers,20181028095533,blog,2018,10,28
99,blog.predpol.com/tag/community-policing/page/2,20200702135048,pageList,2020,07,02
100,blog.predpol.com/happy-birthday-to-predpol-7yrs.-strong,20190419052431,blog,2019,04,19
101,blog.predpol.com/tag/stephen-goldsmith,20170726173652,tag,2017,07,26
102,blog.predpol.com/tag/tacoma-police,20170728073356,tag,2017,07,28
103,blog.predpol.com/government-technology-magazine-features-predpol-deployment-in-tacoma,20201031162243,blog,2020,10,31
104,blog.predpol.com/predpol-named-to-govtech100-list-for-3rd-straight-year,20200716025006,blog,2020,07,16
105,blog.predpol.com/tag/richmond,20170726174847,tag,2017,07,26
106,blog.predpol.com/tag/lapd,20170726174226,tag,2017,07,26
107,blog.predpol.com/tag/piedmont,20170726174705,tag,2017,07,26
108,blog.predpol.com/milpitas-police-enlist-predpol-to-reduce-crime,20201031161927,blog,2020,10,31
109,blog.predpol.com/predpols-new-expanded-analytics-dashboard-is-here,20190419052458,blog,2019,04,19
110,blog.predpol.com/predpol-launches-first-of-its-kind-technology-to-predict-gun-violence,20201031155009,blog,2020,10,31
111,blog.predpol.com/santa-clara-newspaper-features-predpol,20211027041248,blog,2021,10,27
112,blog.predpol.com/tag/deputy-chief-nick-metz,20170726174003,tag,2017,07,26
113,blog.predpol.com/tag/patrol-management/page/1,20201031165455,pageList,2020,10,31
114,blog.predpol.com/tag/lapd-pacific-division,20170728074403,tag,2017,07,28
115,blog.predpol.com/feature-spotlight-new-custom-boxes,20190419052422,blog,2019,04,19
116,blog.predpol.com/our-hearts-go-out-to-santa-cruz-police,20210925234541,blog,2021,09,25
117,blog.predpol.com/tag/seattle-police-chief-john-diaz,20170726173646,tag,2017,07,26
118,blog.predpol.com/tag/it-world,20170726173816,tag,2017,07,26
119,blog.predpol.com/tag/lauderhill-police,20170726174836,tag,2017,07,26
120,blog.predpol.com/the-cost-of-predpol-how-to-justify-your-purchase,20201026012223,blog,2020,10,26
121,blog.predpol.com/tag/transparency/page/1,20200806155706,pageList,2020,08,06
122,blog.predpol.com/policing-in-the-time-of-covid-19,20200423232849,blog,2020,04,23
123,blog.predpol.com/tag/customer-success,20181218223954,tag,2018,12,18
124,blog.predpol.com/tag/santa-clara-university,20170726174039,tag,2017,07,26
125,blog.predpol.com/tag/predictive-analytics/page/2,20200702124840,pageList,2020,07,02
126,blog.predpol.com/it-world-canada-features-predpol,20201031154738,blog,2020,10,31
127,blog.predpol.com/ucla-predictive-policing-study,20210926002745,blog,2021,09,26
128,blog.predpol.com/tag/ucla,20170726174549,tag,2017,07,26
129,blog.predpol.com/page/1,20181219230137,pageList,2018,12,19
130,blog.predpol.com/predpol-featured-on-nbc-chicago,20201031171025,blog,2020,10,31
131,blog.predpol.com/tag/culture-change/page/2,20200702140441,pageList,2020,07,02
132,blog.predpol.com/tag/innovations-in-government-program-at-the-harvard-k,20170726174655,tag,2017,07,26
133,blog.predpol.com/new-feature-spotlight-mission-calendars,20191122122316,blog,2019,11,22
134,blog.predpol.com/tag/iaca,20170726174650,tag,2017,07,26
135,blog.predpol.com/tag/seattle,20170726174445,tag,2017,07,26
136,blog.predpol.com/tag/transparency/page/3,20200806154615,pageList,2020,08,06
137,blog.predpol.com/predpol-in-reading-pa-results,20201031170033,blog,2020,10,31
138,blog.predpol.com/tag/customer-success/page/3,20201031164644,pageList,2020,10,31
139,blog.predpol.com/sacbee-online-predpol-results-in-dramatic-crime-reduction,20201031155626,blog,2020,10,31
140,blog.predpol.com/atlanta-mayor-highlights-predpol-wsj,20230127021331,blog,2023,01,27
